ID,Site,Mine,Storage,Cu,Maximum_Concentration,lag_time,mu_max,Media
952,E,RT,BB,600,0.013,0,0.000166667,1:10PTYG
953,E,RT,BB,600,0.022,0,0.000166667,1:10PTYG
954,F,TECK,BB,600,0.018,0,0.000333333,1:10PTYG
955,F,TECK,BB,600,0.013,0,0.0000555556,1:10PTYG
956,F,TECK,BB,600,0.019,0,0.000166667,1:10PTYG
957,F,TECK,BB,600,0.021,0,0.000166667,1:10PTYG
958,F,TECK,BB,600,0.017,0,0.0000555556,1:10PTYG
959,F,TECK,BB,600,0.015,0,0.000166667,1:10PTYG
960,G,TECK,BB,600,0.022,0,0.000166667,1:10PTYG
961,G,TECK,BB,600,0.016,0,0.0000555556,1:10PTYG
962,G,TECK,BB,600,0.024,0,0,1:10PTYG
963,G,TECK,BB,600,0.027,0,0.000166667,1:10PTYG
964,G,TECK,BB,600,0.02,0,0.0000833333,1:10PTYG
965,G,TECK,BB,600,0.011,0,0,1:10PTYG
966,G,TECK,BB,600,0.02,0,0.000166667,1:10PTYG
967,G,TECK,BB,600,0.006,0,0.000166667,1:10PTYG
968,G,TECK,BB,600,0.104,0,0,1:10PTYG
969,D,RT,BB,600,0.008,0,0.000166667,1:10PTYG
970,D,RT,BB,600,0.047,0,0.000666667,1:10PTYG
971,E,RT,BB,600,0.023,0,0.000333333,1:10PTYG
972,E,RT,BB,600,0.02,0,0,1:10PTYG
973,E,RT,BB,600,0.033,0,0.000166667,1:10PTYG
974,F,TECK,BB,600,0.017,0,0.000166667,1:10PTYG
975,F,TECK,BB,600,0.044,0,0,1:10PTYG
976,F,TECK,BB,600,0.028,0,0.000333333,1:10PTYG
977,F,TECK,BB,600,0.03,0,0.0000833333,1:10PTYG
978,F,TECK,BB,600,0.015,0,0.000166667,1:10PTYG
979,F,TECK,BB,600,0.02,0,0.000166667,1:10PTYG
980,G,TECK,BB,600,0.394,0,0,1:10PTYG
981,G,TECK,BB,600,0.018,0,0.000166667,1:10PTYG
982,G,TECK,BB,600,0.007,0,0.000166667,1:10PTYG
983,G,TECK,BB,600,0.011,0,0.000166667,1:10PTYG
984,G,TECK,BB,600,0.039,0,0.000166667,1:10PTYG
985,G,TECK,BB,600,0.019,0,0,1:10PTYG
986,G,TECK,BB,600,0.016,0,0.000166667,1:10PTYG
987,G,TECK,BB,600,0.011,0,0.0000833333,1:10PTYG
988,G,TECK,BB,600,0.007,0,0,1:10PTYG
989,D,RT,BB,600,0.004,0,0,1:10PTYG
990,D,RT,BB,600,0.02,0,0.000166667,1:10PTYG
991,E,RT,BB,600,0.679,0,0,1:10PTYG
992,E,RT,BB,600,0.027,0,0,1:10PTYG
993,E,RT,BB,600,0.024,0,0.000166667,1:10PTYG
994,F,TECK,BB,750,0.015,0,0,1:10PTYG
995,F,TECK,BB,750,0.015,0,0,1:10PTYG
996,F,TECK,BB,750,0.029,0,0,1:10PTYG
997,F,TECK,BB,750,0.021,0,0.0000166667,1:10PTYG
998,F,TECK,BB,750,0.017,0,0,1:10PTYG
999,F,TECK,BB,750,0.004,0,0,1:10PTYG
1000,G,TECK,BB,750,0.012,0,0.0000833333,1:10PTYG
1001,G,TECK,BB,750,0.03,0,0.0000166667,1:10PTYG
1002,G,TECK,BB,750,0.025,0,0,1:10PTYG
1003,G,TECK,BB,750,0.019,0,0,1:10PTYG
1004,G,TECK,BB,750,0.01,0,0,1:10PTYG
1005,G,TECK,BB,750,0.005,0,0,1:10PTYG
1006,G,TECK,BB,750,0.009,0,0.000166667,1:10PTYG
1007,G,TECK,BB,750,0.023,0,0,1:10PTYG
1008,G,TECK,BB,750,0.009,0,0,1:10PTYG
1009,D,RT,BB,750,0.122,0,0,1:10PTYG
1010,D,RT,BB,750,0.016,0,0.0000208333,1:10PTYG
1011,E,RT,BB,750,0.019,0,0.000333333,1:10PTYG
1012,E,RT,BB,750,0.014,0,0.0000555556,1:10PTYG
1013,E,RT,BB,750,0.066,0,0,1:10PTYG
1014,F,TECK,BB,750,0.023,0,0.000111111,1:10PTYG
1015,F,TECK,BB,750,0.045,0,0,1:10PTYG
1016,F,TECK,BB,750,0.02,0,0,1:10PTYG
1017,F,TECK,BB,750,0.019,0,0.0000833333,1:10PTYG
1018,F,TECK,BB,750,0.017,0,0,1:10PTYG
1019,F,TECK,BB,750,0.001,6,0,1:10PTYG
1020,G,TECK,BB,750,0.019,0,0,1:10PTYG
1021,G,TECK,BB,750,0.016,0,0,1:10PTYG
1022,G,TECK,BB,750,0.003,0,0,1:10PTYG
1023,G,TECK,BB,750,0.014,0,0.0000833333,1:10PTYG
1024,G,TECK,BB,750,0.018,0,0,1:10PTYG
1025,G,TECK,BB,750,0.012,0,0,1:10PTYG
1026,G,TECK,BB,750,0.009,0,0,1:10PTYG
1027,G,TECK,BB,750,0.006,0,0,1:10PTYG
1028,G,TECK,BB,750,0.01,0,0.000166667,1:10PTYG
1029,D,RT,BB,750,0.003,0,0,1:10PTYG
1030,D,RT,BB,750,0.015,0,0,1:10PTYG
1031,E,RT,BB,750,0.027,0,0.0000833333,1:10PTYG
1032,E,RT,BB,750,0.015,0,0.0000833333,1:10PTYG
1033,E,RT,BB,750,0.033,0,0.000166667,1:10PTYG
1034,F,TECK,BB,750,0.019,0,0,1:10PTYG
1035,F,TECK,BB,750,0.34,0,0,1:10PTYG
1036,F,TECK,BB,750,0.021,0,0.0000166667,1:10PTYG
1037,F,TECK,BB,750,0.676,0,0.001583333,1:10PTYG
1038,F,TECK,BB,750,0.028,0,0.0000833333,1:10PTYG
1039,F,TECK,BB,750,0.753,0,0.0015,1:10PTYG
1040,G,TECK,BB,750,0.659,0,0.000333333,1:10PTYG
1041,G,TECK,BB,750,0.017,0,0,1:10PTYG
1042,G,TECK,BB,750,0.008,0,0,1:10PTYG
1043,G,TECK,BB,750,0.016,0,0.0000833333,1:10PTYG
1044,G,TECK,BB,750,0.044,0,0,1:10PTYG
1045,G,TECK,BB,750,0.007,0,0,1:10PTYG
1046,G,TECK,BB,750,0.027,0,0,1:10PTYG
1047,G,TECK,BB,750,0.009,0,0.0000555556,1:10PTYG
1048,G,TECK,BB,750,0.012,0,0,1:10PTYG
1049,D,RT,BB,750,0.008,0,0,1:10PTYG
1050,D,RT,BB,750,0.031,0,0.000166667,1:10PTYG
1051,E,RT,BB,750,0.029,0,0.000166667,1:10PTYG
1052,E,RT,BB,750,0.036,0,0,1:10PTYG
1053,E,RT,BB,750,0.022,0,0.000166667,1:10PTYG
1054,F,TECK,BB,1200,0.219,0,0,1:10PTYG
1055,F,TECK,BB,1200,0.021,0,0.0000833333,1:10PTYG
1056,F,TECK,BB,1200,0.026,0,0.0000416667,1:10PTYG
1057,F,TECK,BB,1200,0.019,0,0.000166667,1:10PTYG
1058,F,TECK,BB,1200,0.018,0,0.000166667,1:10PTYG
1059,F,TECK,BB,1200,0.004,6,0.000166667,1:10PTYG
1060,G,TECK,BB,1200,0.019,0,0.000166667,1:10PTYG
1061,G,TECK,BB,1200,0.017,0,0.0000416667,1:10PTYG
1062,G,TECK,BB,1200,0.001,18,0,1:10PTYG
1063,G,TECK,BB,1200,0.021,0,0.0000555556,1:10PTYG
1064,G,TECK,BB,1200,0.011,0,0.000166667,1:10PTYG
1065,G,TECK,BB,1200,0.005,0,0,1:10PTYG
1066,G,TECK,BB,1200,0.014,0,0.0000277778,1:10PTYG
1067,G,TECK,BB,1200,0.007,0,0.0000833333,1:10PTYG
1068,G,TECK,BB,1200,0.009,0,0,1:10PTYG
1069,D,RT,BB,1200,0.007,0,0.000166667,1:10PTYG
1070,D,RT,BB,1200,0.014,0,0.0000138889,1:10PTYG
1071,E,RT,BB,1200,0.023,0,0.0000833333,1:10PTYG
1072,E,RT,BB,1200,0.011,0,0.000166667,1:10PTYG
1073,E,RT,BB,1200,0.019,0,0.0000714286,1:10PTYG
1074,F,TECK,BB,1200,0.022,0,0.0000833333,1:10PTYG
1075,F,TECK,BB,1200,0.034,0,0.000333333,1:10PTYG
1076,F,TECK,BB,1200,0.496,0,0,1:10PTYG
1077,F,TECK,BB,1200,0.038,0,0,1:10PTYG
1078,F,TECK,BB,1200,0.296,0,0,1:10PTYG
1079,F,TECK,BB,1200,0.024,0,0.0000833333,1:10PTYG
1080,G,TECK,BB,1200,0.032,0,0,1:10PTYG
1081,G,TECK,BB,1200,0.071,0,0.001166667,1:10PTYG
1082,G,TECK,BB,1200,0.004,0,0,1:10PTYG
1083,G,TECK,BB,1200,0.029,0,0,1:10PTYG
1084,G,TECK,BB,1200,0.126,0,0.000166667,1:10PTYG
1085,G,TECK,BB,1200,0.012,0,0.0000833333,1:10PTYG
1086,G,TECK,BB,1200,0.031,0,0.0000833333,1:10PTYG
1087,G,TECK,BB,1200,0.035,0,0,1:10PTYG
1088,G,TECK,BB,1200,0.012,0,0,1:10PTYG
1089,D,RT,BB,1200,0.008,0,0,1:10PTYG
1090,D,RT,BB,1200,0.018,0,0,1:10PTYG
1091,E,RT,BB,1200,0.021,0,0,1:10PTYG
1092,E,RT,BB,1200,0.016,0,0,1:10PTYG
1093,E,RT,BB,1200,0.707,0,0,1:10PTYG
1094,F,TECK,BB,1200,0.031,0,0.000166667,1:10PTYG
1095,F,TECK,BB,1200,0.021,0,0.000166667,1:10PTYG
1096,F,TECK,BB,1200,0.024,0,0.0000833333,1:10PTYG
1097,F,TECK,BB,1200,0.018,0,0.0000833333,1:10PTYG
1098,F,TECK,BB,1200,0.028,0,0,1:10PTYG
1099,F,TECK,BB,1200,0.005,0,0.000166667,1:10PTYG
1100,G,TECK,BB,1200,0.01,0,0,1:10PTYG
1101,G,TECK,BB,1200,0.104,0,0.0000833333,1:10PTYG
1102,G,TECK,BB,1200,0.009,0,0,1:10PTYG
1103,G,TECK,BB,1200,0.017,0,0.0000833333,1:10PTYG
1104,G,TECK,BB,1200,0.013,0,0.000333333,1:10PTYG
1105,G,TECK,BB,1200,0.022,0,0.000166667,1:10PTYG
1106,G,TECK,BB,1200,0.016,0,0,1:10PTYG
1107,G,TECK,BB,1200,0.012,0,0,1:10PTYG
1108,G,TECK,BB,1200,0.015,0,0,1:10PTYG
1109,D,RT,BB,1200,0.038,0,0.000833333,1:10PTYG
1110,D,RT,BB,1200,0.032,0,0.0000833333,1:10PTYG
1111,E,RT,BB,1200,0.027,0,0.0000555556,1:10PTYG
1112,E,RT,BB,1200,0.024,0,0,1:10PTYG
1113,E,RT,BB,1200,0.027,0,0.0000833333,1:10PTYG
1114,B,TECK,CR,0,2.907,6,0.107166667,1xLB
1115,B,TECK,CR,0,2.835,6,0.107333333,1xLB
1116,B,TECK,CR,0,2.816,6,0.105333333,1xLB
1117,B,TECK,CR,150,2.001,6,0.082666667,1xLB
1118,B,TECK,CR,150,2,6,0.080833333,1xLB
1119,B,TECK,CR,150,2,6,0.084833333,1xLB
1120,B,TECK,CR,300,1.833,6,0.087,1xLB
1121,B,TECK,CR,300,1.821,6,0.093166667,1xLB
1122,B,TECK,CR,300,1.851,6,0.098,1xLB
1123,B,TECK,CR,600,1.777,6,0.0905,1xLB
1124,B,TECK,CR,600,1.791,6,0.061833333,1xLB
1125,B,TECK,CR,600,1.833,6,0.098166667,1xLB
1126,B,TECK,CR,750,1.822,6,0.113,1xLB
1127,B,TECK,CR,750,1.859,6,0.1195,1xLB
1128,B,TECK,CR,750,2.035,6,0.1065,1xLB
1129,B,TECK,CR,1200,1.39,6,0.077333333,1xLB
1130,B,TECK,CR,1200,1.233,24,0.0515,1xLB
1131,B,TECK,CR,1200,1.357,18,0.04925,1xLB
1132,B,TECK,CR,0,2.32,6,0.090666667,1xLB
1133,B,TECK,CR,0,2.066,6,0.0845,1xLB
1134,B,TECK,CR,0,2.039,6,0.0795,1xLB
1135,B,TECK,CR,150,1.561,6,0.074166667,1xLB
1136,B,TECK,CR,150,1.568,6,0.0765,1xLB
1137,B,TECK,CR,150,1.66,6,0.061666667,1xLB
1138,B,TECK,CR,300,1.448,6,0.056833333,1xLB
1139,B,TECK,CR,300,1.468,6,0.078166667,1xLB
1140,B,TECK,CR,300,1.568,6,0.063333333,1xLB
1141,B,TECK,CR,600,1.36,6,0.070833333,1xLB
1142,B,TECK,CR,600,1.41,6,0.071833333,1xLB
1143,B,TECK,CR,600,2.204,12,0.077833333,1xLB
1144,B,TECK,CR,750,1.43,6,0.105833333,1xLB
1145,B,TECK,CR,750,1.636,6,0.107833333,1xLB
1146,B,TECK,CR,750,1.619,6,0.049666667,1xLB
1147,B,TECK,CR,1200,1.326,18,0.069166667,1xLB
1148,B,TECK,CR,1200,1.241,18,0.057666667,1xLB
1149,B,TECK,CR,1200,1.249,18,0.04525,1xLB
1150,B,TECK,CR,0,2.297,6,0.099,1xLB
1151,B,TECK,CR,0,2.228,6,0.1045,1xLB
1152,B,TECK,CR,0,2.191,6,0.108666667,1xLB
1153,B,TECK,CR,150,1.755,6,0.076833333,1xLB
1154,B,TECK,CR,150,1.673,6,0.0825,1xLB
1155,B,TECK,CR,150,1.713,6,0.077833333,1xLB
1156,B,TECK,CR,300,1.385,6,0.071166667,1xLB
1157,B,TECK,CR,300,1.457,6,0.073,1xLB
1158,B,TECK,CR,300,1.351,6,0.070833333,1xLB
1159,B,TECK,CR,600,1.229,6,0.059,1xLB
1160,B,TECK,CR,600,1.224,6,0.054333333,1xLB
1161,B,TECK,CR,600,1.256,6,0.061666667,1xLB
1162,B,TECK,CR,750,1.301,6,0.0475,1xLB
1163,B,TECK,CR,750,1.405,6,0.043166667,1xLB
1164,B,TECK,CR,750,1.446,6,0.047666667,1xLB
1165,B,TECK,CR,1200,1.169,6,0.049166667,1xLB
1166,B,TECK,CR,1200,1.299,6,0.022166667,1xLB
1167,B,TECK,CR,1200,1.438,12,0.052166667,1xLB
1168,C,RT,CR,0,3.085,12,0.117333333,1xLB
1169,C,RT,CR,0,2.844,12,0.125,1xLB
1170,C,RT,CR,0,2.73,12,0.114166667,1xLB
1171,C,RT,CR,150,1.602,6,0.063333333,1xLB
1172,C,RT,CR,150,1.727,6,0.0735,1xLB
1173,C,RT,CR,150,1.72,6,0.0725,1xLB
1174,C,RT,CR,300,1.531,6,0.067,1xLB
1175,C,RT,CR,300,1.501,6,0.0655,1xLB
1176,C,RT,CR,300,1.56,6,0.0745,1xLB
1177,C,RT,CR,600,1.433,12,0.077,1xLB
1178,C,RT,CR,600,1.633,12,0.069833333,1xLB
1179,C,RT,CR,600,1.576,12,0.062666667,1xLB
1180,C,RT,CR,750,1.418,12,0.0765,1xLB
1181,C,RT,CR,750,1.572,12,0.057333333,1xLB
1182,C,RT,CR,750,1.62,12,0.0595,1xLB
1183,C,RT,CR,1200,1.127,48,0.042,1xLB
1184,C,RT,CR,1200,1.097,48,0.0455,1xLB
1185,C,RT,CR,1200,1.132,48,0.041833333,1xLB
1186,C,RT,CR,0,2.698,6,0.1095,1xLB
1187,C,RT,CR,0,2.599,6,0.115,1xLB
1188,C,RT,CR,0,2.522,6,0.105166667,1xLB
1189,C,RT,CR,150,1.891,6,0.1015,1xLB
1190,C,RT,CR,150,1.845,6,0.105666667,1xLB
1191,C,RT,CR,150,1.894,6,0.1155,1xLB
1192,C,RT,CR,300,1.695,6,0.115,1xLB
1193,C,RT,CR,300,1.659,6,0.113333333,1xLB
1194,C,RT,CR,300,1.723,6,0.0865,1xLB
1195,C,RT,CR,600,1.692,6,0.076,1xLB
1196,C,RT,CR,600,1.697,6,0.096333333,1xLB
1197,C,RT,CR,600,1.79,6,0.103333333,1xLB
1198,C,RT,CR,750,1.518,6,0.105,1xLB
1199,C,RT,CR,750,1.918,6,0.105333333,1xLB
1200,C,RT,CR,750,1.728,6,0.104166667,1xLB
1201,C,RT,CR,1200,1.779,12,0.092666667,1xLB
1202,C,RT,CR,1200,1.988,12,0.085166667,1xLB
1203,C,RT,CR,1200,2.236,12,0.108666667,1xLB
1204,C,RT,CR,0,2.818,6,0.078666667,1xLB
1205,C,RT,CR,0,1.977,6,0.063666667,1xLB
1206,C,RT,CR,0,2.046,6,0.0685,1xLB
1207,C,RT,CR,150,1.471,6,0.064166667,1xLB
1208,C,RT,CR,150,1.998,6,0.042,1xLB
1209,C,RT,CR,150,1.719,6,0.042833333,1xLB
1210,C,RT,CR,300,1.498,6,0.043666667,1xLB
1211,C,RT,CR,300,1.38,6,0.042833333,1xLB
1212,C,RT,CR,300,1.852,6,0.0485,1xLB
1213,C,RT,CR,600,2.653,24,0.044833333,1xLB
1214,C,RT,CR,600,1.886,18,0.03575,1xLB
1215,C,RT,CR,600,2.511,24,0.031083333,1xLB
1216,C,RT,CR,750,1.653,24,0.058,1xLB
1217,C,RT,CR,750,1.28,18,0.044,1xLB
1218,C,RT,CR,750,1.402,18,0.040666667,1xLB
1219,C,RT,CR,1200,0.983,36,0.016138889,1xLB
1220,C,RT,CR,1200,0.487,0,0.010791667,1xLB
1221,C,RT,CR,1200,0.495,6,0.028916667,1xLB
1222,D,RT,CR,0,2.712,6,0.113333333,1xLB
1223,D,RT,CR,0,2.614,6,0.113,1xLB
1224,D,RT,CR,0,2.444,6,0.104333333,1xLB
1225,D,RT,CR,150,1.822,6,0.101666667,1xLB
1226,D,RT,CR,150,1.747,6,0.074333333,1xLB
1227,D,RT,CR,150,1.748,6,0.0665,1xLB
1228,D,RT,CR,300,1.745,6,0.106833333,1xLB
1229,D,RT,CR,300,1.695,6,0.077666667,1xLB
1230,D,RT,CR,300,1.696,6,0.070166667,1xLB
1231,D,RT,CR,600,1.879,6,0.1175,1xLB
1232,D,RT,CR,600,1.86,6,0.105833333,1xLB
1233,D,RT,CR,600,1.68,6,0.109,1xLB
1234,D,RT,CR,750,1.887,6,0.104166667,1xLB
1235,D,RT,CR,750,1.965,12,0.097833333,1xLB
1236,D,RT,CR,750,1.93,12,0.101333333,1xLB
1237,D,RT,CR,1200,1.509,12,0.099,1xLB
1238,D,RT,CR,1200,1.845,18,0.074333333,1xLB
1239,D,RT,CR,1200,2.055,18,0.064333333,1xLB
1240,D,RT,CR,0,2.974,6,0.110166667,1xLB
1241,D,RT,CR,0,2.424,6,0.104,1xLB
1242,D,RT,CR,0,2.4,6,0.101,1xLB
1243,D,RT,CR,150,1.725,6,0.069833333,1xLB
1244,D,RT,CR,150,2.074,6,0.102833333,1xLB
1245,D,RT,CR,150,1.829,6,0.102,1xLB
1246,D,RT,CR,300,1.677,6,0.1005,1xLB
1247,D,RT,CR,300,1.729,6,0.100833333,1xLB
1248,D,RT,CR,300,1.664,6,0.0985,1xLB
1249,D,RT,CR,600,1.741,6,0.108333333,1xLB
1250,D,RT,CR,600,2.247,12,0.092166667,1xLB
1251,D,RT,CR,600,1.956,6,0.096666667,1xLB
1252,D,RT,CR,750,1.653,12,0.120166667,1xLB
1253,D,RT,CR,750,1.924,12,0.117,1xLB
1254,D,RT,CR,750,1.803,12,0.1475,1xLB
1255,D,RT,CR,1200,1.461,18,0.094833333,1xLB
1256,D,RT,CR,1200,1.533,18,0.061666667,1xLB
1257,D,RT,CR,1200,1.556,18,0.042916667,1xLB
1258,D,RT,CR,0,2.793,6,0.117666667,1xLB
1259,D,RT,CR,0,2.632,6,0.108,1xLB
1260,D,RT,CR,0,2.413,6,0.106833333,1xLB
1261,D,RT,CR,150,1.868,6,0.108,1xLB
1262,D,RT,CR,150,1.828,6,0.0975,1xLB
1263,D,RT,CR,150,1.848,6,0.0955,1xLB
1264,D,RT,CR,300,1.7,6,0.102666667,1xLB
1265,D,RT,CR,300,1.819,6,0.126166667,1xLB
1266,D,RT,CR,300,1.673,6,0.077833333,1xLB
1267,D,RT,CR,600,1.628,6,0.125333333,1xLB
1268,D,RT,CR,600,1.826,6,0.129333333,1xLB
1269,D,RT,CR,600,1.837,6,0.119833333,1xLB
1270,D,RT,CR,750,1.783,12,0.1165,1xLB
1271,D,RT,CR,750,1.951,12,0.118,1xLB
1272,D,RT,CR,750,1.771,12,0.1275,1xLB
1273,D,RT,CR,1200,1.615,18,0.082666667,1xLB
1274,D,RT,CR,1200,1.688,18,0.069833333,1xLB
1275,D,RT,CR,1200,1.901,24,0.046666667,1xLB
1276,D,RT,CR,0,2.95,6,0.104666667,1xLB
1277,D,RT,CR,0,2.238,6,0.094333333,1xLB
1278,D,RT,CR,0,2.214,6,0.095,1xLB
1279,D,RT,CR,150,1.638,6,0.071166667,1xLB
1280,D,RT,CR,150,1.743,6,0.077,1xLB
1281,D,RT,CR,150,1.344,6,0.070333333,1xLB
1282,D,RT,CR,300,1.763,6,0.07,1xLB
1283,D,RT,CR,300,1.793,6,0.098,1xLB
1284,D,RT,CR,300,1.703,6,0.097833333,1xLB
1285,D,RT,CR,600,1.804,6,0.124333333,1xLB
1286,D,RT,CR,600,1.694,6,0.098666667,1xLB
1287,D,RT,CR,600,1.684,6,0.134333333,1xLB
1288,D,RT,CR,750,2.15,12,0.109333333,1xLB
1289,D,RT,CR,750,1.845,12,0.11,1xLB
1290,D,RT,CR,750,1.925,6,0.118166667,1xLB
1291,D,RT,CR,1200,1.754,18,0.0985,1xLB
1292,D,RT,CR,1200,1.69,18,0.09,1xLB
1293,D,RT,CR,1200,2.012,24,0.0485,1xLB
1294,E,RT,CR,0,2.988,6,0.126166667,1xLB
1295,E,RT,CR,0,2.788,6,0.119333333,1xLB
1296,E,RT,CR,0,2.833,6,0.113333333,1xLB
1297,E,RT,CR,150,1.735,6,0.1065,1xLB
1298,E,RT,CR,150,2.132,6,0.106333333,1xLB
1299,E,RT,CR,150,1.863,6,0.098833333,1xLB
1300,E,RT,CR,300,1.978,6,0.1015,1xLB
1301,E,RT,CR,300,2.158,6,0.102166667,1xLB
1302,E,RT,CR,300,1.848,6,0.119333333,1xLB
1303,E,RT,CR,600,1.717,6,0.063,1xLB
1304,E,RT,CR,600,1.754,6,0.105333333,1xLB
1305,E,RT,CR,600,1.839,6,0.0655,1xLB
1306,E,RT,CR,750,1.57,12,0.073666667,1xLB
1307,E,RT,CR,750,1.526,12,0.111166667,1xLB
1308,E,RT,CR,750,1.474,12,0.112166667,1xLB
1309,E,RT,CR,1200,1.159,24,0.03575,1xLB
1310,E,RT,CR,1200,1.081,24,0.018833333,1xLB
1311,E,RT,CR,1200,1.196,24,0.052416667,1xLB
1312,E,RT,CR,0,3.04,6,0.137833333,1xLB
1313,E,RT,CR,0,3.046,6,0.137,1xLB
1314,E,RT,CR,0,2.733,6,0.121666667,1xLB
1315,E,RT,CR,150,2.152,6,0.156333333,1xLB
1316,E,RT,CR,150,2.02,6,0.157333333,1xLB
1317,E,RT,CR,150,2.044,6,0.158166667,1xLB
1318,E,RT,CR,300,1.885,6,0.134333333,1xLB
1319,E,RT,CR,300,2.11,6,0.145833333,1xLB
1320,E,RT,CR,300,1.717,6,0.100166667,1xLB
1321,E,RT,CR,600,1.63,6,0.109666667,1xLB
1322,E,RT,CR,600,1.8,6,0.108166667,1xLB
1323,E,RT,CR,600,1.672,0,0.092166667,1xLB
1324,E,RT,CR,750,1.618,12,0.1115,1xLB
1325,E,RT,CR,750,1.754,12,0.103166667,1xLB
1326,E,RT,CR,750,1.731,12,0.093333333,1xLB
1327,E,RT,CR,1200,1.232,18,0.061166667,1xLB
1328,E,RT,CR,1200,1.312,18,0.057333333,1xLB
1329,E,RT,CR,1200,1.661,18,0.046666667,1xLB
1330,E,RT,CR,0,3.217,6,0.143333333,1xLB
1331,E,RT,CR,0,2.939,6,0.119166667,1xLB
1332,E,RT,CR,0,2.986,6,0.117833333,1xLB
1333,E,RT,CR,150,2.132,6,0.083833333,1xLB
1334,E,RT,CR,150,2.168,6,0.104666667,1xLB
1335,E,RT,CR,150,2.149,6,0.108666667,1xLB
1336,E,RT,CR,300,1.931,6,0.089666667,1xLB
1337,E,RT,CR,300,1.958,6,0.094,1xLB
1338,E,RT,CR,300,2.088,6,0.109,1xLB
1339,E,RT,CR,600,1.855,6,0.113,1xLB
1340,E,RT,CR,600,1.859,6,0.113166667,1xLB
1341,E,RT,CR,600,1.912,6,0.113,1xLB
1342,E,RT,CR,750,1.805,12,0.100333333,1xLB
1343,E,RT,CR,750,1.863,6,0.097666667,1xLB
1344,E,RT,CR,750,1.875,6,0.1065,1xLB
1345,E,RT,CR,1200,1.411,12,0.102333333,1xLB
1346,E,RT,CR,1200,1.496,12,0.087166667,1xLB
1347,E,RT,CR,1200,1.611,12,0.079333333,1xLB
1348,E,RT,CR,0,2.441,6,0.11,1xLB
1349,E,RT,CR,0,2.418,6,0.106666667,1xLB
1350,E,RT,CR,0,1.944,6,0.085333333,1xLB
1351,E,RT,CR,150,1.699,6,0.076333333,1xLB
1352,E,RT,CR,150,1.729,6,0.0745,1xLB
1353,E,RT,CR,150,1.871,6,0.079666667,1xLB
1354,E,RT,CR,300,1.339,6,0.068,1xLB
1355,E,RT,CR,300,1.381,6,0.060333333,1xLB
1356,E,RT,CR,300,1.364,6,0.071,1xLB
1357,E,RT,CR,600,1.253,6,0.0535,1xLB
1358,E,RT,CR,600,1.216,6,0.059333333,1xLB
1359,E,RT,CR,600,1.262,6,0.059833333,1xLB
1360,E,RT,CR,750,1.305,6,0.086166667,1xLB
1361,E,RT,CR,750,1.31,6,0.0935,1xLB
1362,E,RT,CR,750,1.332,6,0.0895,1xLB
1363,E,RT,CR,1200,1.265,12,0.068666667,1xLB
1364,E,RT,CR,1200,1.35,12,0.0745,1xLB
1365,E,RT,CR,1200,1.421,12,0.091666667,1xLB
1366,E,RT,CR,0,2.432,6,0.091666667,1xLB
1367,E,RT,CR,0,2.537,6,0.091333333,1xLB
1368,E,RT,CR,0,2.461,6,0.093166667,1xLB
1369,E,RT,CR,150,1.754,6,0.075166667,1xLB
1370,E,RT,CR,150,1.692,6,0.076833333,1xLB
1371,E,RT,CR,150,1.787,6,0.071333333,1xLB
1372,E,RT,CR,300,1.339,6,0.062833333,1xLB
1373,E,RT,CR,300,1.602,6,0.098,1xLB
1374,E,RT,CR,300,1.314,6,0.066333333,1xLB
1375,E,RT,CR,600,1.199,6,0.0605,1xLB
1376,E,RT,CR,600,1.204,6,0.051,1xLB
1377,E,RT,CR,600,1.226,6,0.0545,1xLB
1378,E,RT,CR,750,1.243,6,0.084166667,1xLB
1379,E,RT,CR,750,1.342,6,0.055666667,1xLB
1380,E,RT,CR,750,1.327,6,0.045833333,1xLB
1381,E,RT,CR,1200,1.228,12,0.073666667,1xLB
1382,E,RT,CR,1200,1.334,12,0.083,1xLB
1383,E,RT,CR,1200,1.409,12,0.081,1xLB
1384,C,RT,BB,0,2.035,12,0.041166667,1xLB
1385,C,RT,BB,0,1.922,12,0.03925,1xLB
1386,C,RT,BB,0,1.778,12,0.097,1xLB
1387,C,RT,BB,150,1.498,6,0.0365,1xLB
1388,C,RT,BB,150,1.485,6,0.034833333,1xLB
1389,C,RT,BB,150,1.505,12,0.0385,1xLB
1390,C,RT,BB,300,0.871,6,0.029166667,1xLB
1391,C,RT,BB,300,0.91,6,0.029916667,1xLB
1392,C,RT,BB,300,0.77,6,0.019416667,1xLB
1393,C,RT,BB,600,0.188,6,0.0075,1xLB
1394,C,RT,BB,600,1.059,18,0.077,1xLB
1395,C,RT,BB,600,0.207,6,0.007,1xLB
1396,C,RT,BB,750,0.2,12,0.004833333,1xLB
1397,C,RT,BB,750,0.301,6,0.005166667,1xLB
1398,C,RT,BB,750,0.238,6,0.004666667,1xLB
1399,C,RT,BB,1200,0.179,0,0.001427083,1xLB
1400,C,RT,BB,1200,0.11,0,0.000333333,1xLB
1401,C,RT,BB,1200,0.012,0,0.0000833333,1xLB
1402,C,RT,BB,0,1.56,12,0.056833333,1xLB
1403,C,RT,BB,0,1.392,0,0.024833333,1xLB
1404,C,RT,BB,0,1.598,12,0.053666667,1xLB
1405,C,RT,BB,150,1.273,12,0.027666667,1xLB
